data_year,pub_agency_name,pub_agency_unit,state_abbr,division_name,region_name,agency_type_name,population_group_desc,county_name,time_0001_0200_cnt,time_0201_0400_cnt,time_0401_0600_cnt,time_0601_0800_cnt,time_0801_1000_cnt,time_1001_1200_cnt,time_1201_1400_cnt,time_1401_1600_cnt,time_1601_1800_cnt,time_1801_2000_cnt,time_2001_2200_cnt,time_2201_0000_cnt,firearm_injury_cnt,firearm_no_injury_cnt,knife_injury_cnt,knife_no_injury_cnt,hands_fists_feet_injury_cnt,hands_fists_feet_no_injury_cnt,other_injury_cnt,other_no_injury_cnt,leoka_felony_killed,leoka_accident_killed
2005,North Slope Borough,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",NORTH SLOPE,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,"",""
2005,Homer,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",KENAI PENINSULA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"",""
2005,Kenai,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",KENAI PENINSULA,4,0,4,0,4,4,0,0,0,0,4,0,0,0,0,4,8,8,0,0,"",""
2005,Soldotna,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",KENAI PENINSULA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"",""
2005,Unalaska,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",ALEUTIANS WEST,0,20,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,12,0,0,"",""
2005,Alaska State Troopers,,AK,Pacific,West,State Police,"Non-MSA counties 100,000 or over","NOT SPECIFIED, UNMAPPED COUNTY",72,48,8,16,8,0,0,16,0,24,0,56,0,40,0,80,32,48,32,16,"",""
2005,Kotzebue,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",NORTHWEST ARCTIC,8,4,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,20,0,4,"",""
2005,Craig,,AK,Pacific,West,City,"Cities under 2,500",PRINCE OF WALES-HYDER,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"",""
2005,Bethel,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",BETHEL,0,4,12,4,0,0,0,4,0,0,0,0,0,0,0,4,4,8,8,0,"",""
2005,Dillingham,,AK,Pacific,West,City,"Cities under 2,500",DILLINGHAM,10,4,1,0,0,0,0,0,0,1,1,1,0,0,0,0,4,14,0,0,"",""
2005,University of Alaska:,Anchorage,AK,Pacific,West,University or College,"Cities under 2,500",NOT SPECIFIED,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"",""
2005,Wrangell,,AK,Pacific,West,City,"Cities under 2,500",WRANGELL,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,"",""
2005,St. Paul,,AK,Pacific,West,City,"Cities under 2,500",ALEUTIANS WEST,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,"",""
2005,Juneau,,AK,Pacific,West,City,"Cities from 25,000 thru 49,999",JUNEAU,14,14,0,0,0,21,0,7,0,7,7,7,0,0,0,0,42,28,7,0,"",""
2005,Anchorage,,AK,Pacific,West,City,"Cities from 250,000 thru 499,999",ANCHORAGE,252,252,60,72,0,60,36,108,120,120,132,168,0,108,0,36,468,528,48,192,"",""
2005,Talladega,,AL,East South Central,South,City,"Cities from 10,000 thru 24,999",TALLADEGA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,"",""
2005,Pelham,,AL,East South Central,South,City,"Cities from 10,000 thru 24,999",SHELBY,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,8,0,"",""
2005,Sylacauga,,AL,East South Central,South,City,"Cities from 10,000 thru 24,999",TALLADEGA,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,"",""
