data_year,pub_agency_name,pub_agency_unit,state_abbr,division_name,region_name,agency_type_name,population_group_desc,county_name,time_0001_0200_cnt,time_0201_0400_cnt,time_0401_0600_cnt,time_0601_0800_cnt,time_0801_1000_cnt,time_1001_1200_cnt,time_1201_1400_cnt,time_1401_1600_cnt,time_1601_1800_cnt,time_1801_2000_cnt,time_2001_2200_cnt,time_2201_0000_cnt,firearm_injury_cnt,firearm_no_injury_cnt,knife_injury_cnt,knife_no_injury_cnt,hands_fists_feet_injury_cnt,hands_fists_feet_no_injury_cnt,other_injury_cnt,other_no_injury_cnt,leoka_felony_killed,leoka_accident_killed
2015,Dillingham,,AK,Pacific,West,City,"Cities under 2,500",DILLINGHAM,0,10,0,0,0,0,0,5,0,5,0,10,0,0,0,0,10,15,5,0,"",""
2015,North Slope Borough,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",NORTH SLOPE,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,2,0,0,"",""
2015,Anchorage,,AK,Pacific,West,City,"Cities from 250,000 thru 499,999",ANCHORAGE,400,350,90,90,160,90,180,100,290,330,180,310,0,90,0,30,250,1950,20,230,"",""
2015,Ketchikan,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",KETCHIKAN GATEWAY,0,4,0,0,0,0,4,0,4,0,4,0,0,0,0,4,4,8,0,0,"",""
2015,Petersburg,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",PETERSBURG,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"",""
2015,Juneau,,AK,Pacific,West,City,"Cities from 25,000 thru 49,999",JUNEAU,108,180,0,0,0,12,36,24,36,0,84,72,0,0,0,36,120,348,48,0,"",""
2015,Sitka,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",SITKA,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,"",""
2015,Palmer,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",MATANUSKA-SUSITNA,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,9,0,0,"",""
2015,Kodiak,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",KODIAK ISLAND,3,0,0,0,0,0,0,3,0,0,0,6,0,0,0,3,9,0,0,0,"",""
2015,Kotzebue,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",NORTHWEST ARCTIC,8,40,8,16,8,0,8,0,8,8,32,16,0,8,0,8,24,112,0,0,"",""
2015,Soldotna,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",KENAI PENINSULA,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,3,0,6,"",""
2015,Fairbanks,,AK,Pacific,West,City,"Cities from 25,000 thru 49,999",FAIRBANKS NORTH STAR,32,16,0,0,8,0,16,8,0,24,24,24,0,0,0,16,80,40,16,0,"",""
2015,Alaska State Troopers,,AK,Pacific,West,State Police,"Non-MSA counties 100,000 or over",NOT SPECIFIED,144,36,36,156,60,60,72,252,84,204,156,216,0,156,0,12,216,792,48,252,"",""
