data_year,pub_agency_name,pub_agency_unit,state_abbr,division_name,region_name,agency_type_name,population_group_desc,county_name,time_0001_0200_cnt,time_0201_0400_cnt,time_0401_0600_cnt,time_0601_0800_cnt,time_0801_1000_cnt,time_1001_1200_cnt,time_1201_1400_cnt,time_1401_1600_cnt,time_1601_1800_cnt,time_1801_2000_cnt,time_2001_2200_cnt,time_2201_0000_cnt,firearm_injury_cnt,firearm_no_injury_cnt,knife_injury_cnt,knife_no_injury_cnt,hands_fists_feet_injury_cnt,hands_fists_feet_no_injury_cnt,other_injury_cnt,other_no_injury_cnt,leoka_felony_killed,leoka_accident_killed
1995,Kodiak,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",KODIAK ISLAND,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"",""
1995,Alaska State Troopers,,AK,Pacific,West,State Police,"Non-MSA counties 100,000 or over","NOT SPECIFIED, UNMAPPED COUNTY",0,63,0,0,18,9,18,9,9,36,0,0,0,36,18,18,0,27,0,63,"",""
1995,Palmer,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",MATANUSKA-SUSITNA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"",""
1995,Fairbanks,,AK,Pacific,West,City,"Cities from 25,000 thru 49,999",FAIRBANKS NORTH STAR,8,16,16,16,0,0,0,8,24,16,16,8,0,0,0,0,32,80,0,16,"",""
1995,Petersburg,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",PETERSBURG,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,"",""
1995,Homer,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",KENAI PENINSULA,1,1,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,"",""
1995,Anchorage,,AK,Pacific,West,City,"Cities from 250,000 thru 499,999",ANCHORAGE,264,228,84,24,24,12,36,24,72,132,132,108,0,36,0,36,84,828,12,144,"",""
1995,Togiak,,AK,Pacific,West,City,"Cities under 2,500",DILLINGHAM,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"",""
1995,Kenai,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",KENAI PENINSULA,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,"",""
1995,Kotzebue,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",NORTHWEST ARCTIC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"",""
1995,Wrangell,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",WRANGELL,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3,0,0,0,"",""
1995,Haines,,AK,Pacific,West,City,"Cities under 2,500",HAINES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"",""
1995,Athens,,AL,East South Central,South,City,"Cities from 10,000 thru 24,999",LIMESTONE,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,"",""
1995,Adamsville,,AL,East South Central,South,City,"Cities from 2,500 thru 9,999",JEFFERSON,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,"",""
1995,Chickasaw,,AL,East South Central,South,City,"Cities from 2,500 thru 9,999",MOBILE,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,"",""
1995,Greenville,,AL,East South Central,South,City,"Cities from 2,500 thru 9,999",BUTLER,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"",""
1995,Jefferson,,AL,East South Central,South,County,"MSA counties 100,000 or over",JEFFERSON,9,27,18,0,0,9,18,45,0,0,0,90,18,45,0,9,27,63,9,45,"",""
1995,Pelham,,AL,East South Central,South,City,"Cities from 10,000 thru 24,999",SHELBY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"",""
1995,Aliceville,,AL,East South Central,South,City,"Cities from 2,500 thru 9,999",PICKENS,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
1995,Tuscaloosa,,AL,East South Central,South,County,"MSA counties from 25,000 thru 99,999",TUSCALOOSA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,"",""
1995,Foley,,AL,East South Central,South,City,"Cities from 2,500 thru 9,999",BALDWIN,0,3,0,0,0,0,0,3,3,0,3,0,0,3,0,0,3,0,6,0,"",""
1995,Brewton,,AL,East South Central,South,City,"Cities from 2,500 thru 9,999",ESCAMBIA,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,2,0,"",""
1995,Coffee,,AL,East South Central,South,County,"Non-MSA counties from 10,000 thru 24,999",COFFEE,0,12,0,0,0,12,4,0,0,0,0,0,0,0,0,0,16,8,4,0,"",""
1995,Chambers,,AL,East South Central,South,County,"Non-MSA counties from 10,000 thru 24,999",CHAMBERS,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
1995,Napier Field,,AL,East South Central,South,City,"Cities under 2,500",DALE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"",""
1995,University of South Alabama,,AL,East South Central,South,University or College,"Cities under 2,500",MOBILE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"",""
1995,Sheffield,,AL,East South Central,South,City,"Cities from 10,000 thru 24,999",COLBERT,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,4,0,0,"",""
1995,Oxford,,AL,East South Central,South,City,"Cities from 10,000 thru 24,999","CALHOUN, TALLADEGA",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"",""
1995,Oneonta,,AL,East South Central,South,City,"Cities from 2,500 thru 9,999",BLOUNT,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"",""
1995,Flomaton,,AL,East South Central,South,City,"Cities under 2,500",ESCAMBIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",""
