data_year,pub_agency_name,pub_agency_unit,state_abbr,division_name,region_name,agency_type_name,population_group_desc,county_name,time_0001_0200_cnt,time_0201_0400_cnt,time_0401_0600_cnt,time_0601_0800_cnt,time_0801_1000_cnt,time_1001_1200_cnt,time_1201_1400_cnt,time_1401_1600_cnt,time_1601_1800_cnt,time_1801_2000_cnt,time_2001_2200_cnt,time_2201_0000_cnt,firearm_injury_cnt,firearm_no_injury_cnt,knife_injury_cnt,knife_no_injury_cnt,hands_fists_feet_injury_cnt,hands_fists_feet_no_injury_cnt,other_injury_cnt,other_no_injury_cnt,leoka_felony_killed,leoka_accident_killed
2000,Kenai,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",KENAI PENINSULA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"",""
2000,Soldotna,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",KENAI PENINSULA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"",""
2000,Wrangell,,AK,Pacific,West,City,"Cities under 2,500",WRANGELL,0,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,4,0,0,0,"",""
2000,Bethel,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",BETHEL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,"",""
2000,St. Paul,,AK,Pacific,West,City,"Cities under 2,500",ALEUTIANS WEST,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"",""
2000,Unalaska,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",ALEUTIANS WEST,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,"",""
2000,Valdez,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",VALDEZ-CORDOVA,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,3,0,"",""
2000,Anchorage,,AK,Pacific,West,City,"Cities from 250,000 thru 499,999",ANCHORAGE,80,70,100,20,60,10,10,20,60,100,70,40,0,30,0,0,160,300,10,140,"",""
2000,Alaska State Troopers,,AK,Pacific,West,State Police,"Non-MSA counties 100,000 or over","NOT SPECIFIED, UNMAPPED COUNTY",12,12,0,0,0,6,0,6,0,0,0,12,0,0,0,0,12,18,18,0,"",""
2000,Petersburg,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",PETERSBURG,10,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,25,0,0,0,"",""
2000,Mobile,,AL,East South Central,South,City,"Cities from 250,000 thru 499,999",MOBILE,7,4,1,3,2,4,2,0,5,4,2,4,0,1,0,0,15,16,1,5,"",""
2000,Montgomery,,AL,East South Central,South,City,"Cities from 100,000 thru 249,999",MONTGOMERY,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,"",""
2000,Northport,,AL,East South Central,South,City,"Cities from 10,000 thru 24,999",TUSCALOOSA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"",""
2000,Opelika,,AL,East South Central,South,City,"Cities from 10,000 thru 24,999",LEE,4,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,6,2,0,0,"",""
2000,Pelham,,AL,East South Central,South,City,"Cities from 10,000 thru 24,999",SHELBY,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,"",""
2000,Huntsville,,AL,East South Central,South,City,"Cities from 100,000 thru 249,999","LIMESTONE, MADISON",0,5,1,1,0,3,1,3,4,3,6,6,0,3,0,0,23,5,2,0,"",""
2000,Ozark,,AL,East South Central,South,City,"Cities from 10,000 thru 24,999",DALE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",""
2000,Coosa,,AL,East South Central,South,County,"Non-MSA counties from 10,000 thru 24,999",COOSA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"",""
2000,Trussville,,AL,East South Central,South,City,"Cities from 10,000 thru 24,999","JEFFERSON, ST CLAIR",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"",""
2000,Florence,,AL,East South Central,South,City,"Cities from 25,000 thru 49,999",LAUDERDALE,2,0,0,0,2,0,1,0,1,4,3,2,0,0,0,0,6,5,0,4,"",""
2000,Cullman,,AL,East South Central,South,County,"Non-MSA counties from 25,000 thru 99,999",CULLMAN,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,0,"",""
2000,Crenshaw,,AL,East South Central,South,County,"Non-MSA counties from 10,000 thru 24,999",CRENSHAW,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,"",""
2000,Scottsboro,,AL,East South Central,South,City,"Cities from 10,000 thru 24,999",JACKSON,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"",""
2000,Guntersville,,AL,East South Central,South,City,"Cities from 2,500 thru 9,999",MARSHALL,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"",""
2000,Pine Hill,,AL,East South Central,South,City,"Cities under 2,500",WILCOX,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"",""
2000,Jefferson,,AL,East South Central,South,County,"MSA counties 100,000 or over",JEFFERSON,1,0,1,1,0,2,2,2,3,1,3,0,0,0,0,0,3,4,4,5,"",""
2000,Enterprise,,AL,East South Central,South,City,"Cities from 10,000 thru 24,999","COFFEE, DALE",0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,2,0,1,"",""
2000,Jackson,,AL,East South Central,South,City,"Cities from 2,500 thru 9,999",CLARKE,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,"",""
2000,Sumiton,,AL,East South Central,South,City,"Cities from 2,500 thru 9,999","JEFFERSON, WALKER",2,2,0,0,0,0,0,0,0,4,2,2,0,2,2,0,6,0,2,0,"",""
2000,University of South Alabama,,AL,East South Central,South,University or College,"Cities under 2,500",MOBILE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"",""
2000,Bessemer,,AL,East South Central,South,City,"Cities from 25,000 thru 49,999",JEFFERSON,1,0,0,0,0,2,2,1,3,1,1,2,0,0,0,0,9,1,3,0,"",""
2000,Foley,,AL,East South Central,South,City,"Cities from 2,500 thru 9,999",BALDWIN,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"",""
2000,Autauga,,AL,East South Central,South,County,"MSA counties from 10,000 thru 24,999",AUTAUGA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"",""
2000,Tallassee,,AL,East South Central,South,City,"Cities from 2,500 thru 9,999","ELMORE, TALLAPOOSA",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"",""
2000,Bayou La Batre,,AL,East South Central,South,City,"Cities under 2,500",MOBILE,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,"",""
2000,Choctaw,,AL,East South Central,South,County,"Non-MSA counties from 10,000 thru 24,999",CHOCTAW,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,"",""
2000,Phenix City,,AL,East South Central,South,City,"Cities from 25,000 thru 49,999","LEE, RUSSELL",0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,"",""
2000,Selma,,AL,East South Central,South,City,"Cities from 10,000 thru 24,999",DALLAS,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,"",""
