data_year,pub_agency_name,pub_agency_unit,state_abbr,division_name,region_name,agency_type_name,population_group_desc,county_name,time_0001_0200_cnt,time_0201_0400_cnt,time_0401_0600_cnt,time_0601_0800_cnt,time_0801_1000_cnt,time_1001_1200_cnt,time_1201_1400_cnt,time_1401_1600_cnt,time_1601_1800_cnt,time_1801_2000_cnt,time_2001_2200_cnt,time_2201_0000_cnt,firearm_injury_cnt,firearm_no_injury_cnt,knife_injury_cnt,knife_no_injury_cnt,hands_fists_feet_injury_cnt,hands_fists_feet_no_injury_cnt,other_injury_cnt,other_no_injury_cnt,leoka_felony_killed,leoka_accident_killed
2023,Alaska State Troopers,,AK,Pacific,West,State Police,"Non-MSA counties 100,000 or over",NOT SPECIFIED,120,96,36,36,48,84,228,60,180,96,48,180,12,216,12,36,288,480,36,132,"",""
2023,Anchorage,,AK,Pacific,West,City,"Cities from 250,000 thru 499,999",ANCHORAGE,876,792,396,168,360,408,432,612,564,840,840,816,24,372,0,168,684,5100,156,600,"",""
2023,Bethel,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",BETHEL,0,21,0,0,0,0,0,0,7,7,7,7,0,7,0,0,14,42,0,7,"",""
2023,Bristol Bay Borough,,AK,Pacific,West,City,"Cities under 2,500",BRISTOL BAY,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,"",""
2023,Fairbanks,,AK,Pacific,West,City,"Cities from 25,000 thru 49,999",FAIRBANKS NORTH STAR,9,18,0,0,0,18,45,0,0,0,45,0,0,0,0,0,90,27,0,18,"",""
2023,Fairbanks International Airport,,AK,Pacific,West,Other,"Cities under 2,500",NOT SPECIFIED,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"",""
2023,Haines,,AK,Pacific,West,City,"Cities under 2,500",HAINES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"",""
2023,Homer,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",KENAI PENINSULA,0,3,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,3,0,3,"",""
2023,Juneau,,AK,Pacific,West,City,"Cities from 25,000 thru 49,999",JUNEAU,30,10,50,10,10,30,40,10,10,20,60,20,0,0,0,0,110,170,0,20,"",""
2023,Kodiak,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",KODIAK ISLAND,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"",""
2023,Kotzebue,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",NORTHWEST ARCTIC,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,4,0,0,"",""
2023,Nome,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",NOME,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,2,0,0,"",""
2023,North Slope Borough,,AK,Pacific,West,City,"Cities from 10,000 thru 24,999",NORTH SLOPE,15,5,0,0,5,0,0,0,0,0,15,0,0,0,0,0,0,10,15,15,"",""
2023,Palmer,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",MATANUSKA-SUSITNA,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,3,3,0,3,"",""
2023,Seward,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",KENAI PENINSULA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"",""
2023,Sitka,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",SITKA,2,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,6,2,0,0,"",""
2023,Soldotna,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",KENAI PENINSULA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"",""
2023,Ted Stevens Anchorage International Airport,,AK,Pacific,West,Other,"Cities under 2,500",NOT SPECIFIED,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"",""
2023,Valdez,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",VALDEZ-CORDOVA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",""
2023,Wasilla,,AK,Pacific,West,City,"Cities from 10,000 thru 24,999",MATANUSKA-SUSITNA,27,9,9,0,0,9,27,9,9,54,36,18,0,0,0,0,72,99,0,36,"",""
2023,Abbeville,,AL,East South Central,South,City,"Cities under 2,500",HENRY,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,"",""
2023,Adamsville,,AL,East South Central,South,City,"Cities from 2,500 thru 9,999",JEFFERSON,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"",""
